1,あかねさす少女,1
2,ゴールデンカムイ,2
3,転生したらスライムだった件,3
4,蒼天の拳 REGENESIS ,4
5,宇宙戦艦ティラミス2,5
6,キャプテン翼,6
7,軒轅剣 蒼き曜,7
8,ブラッククローバー,8
9,アイドルマスター SideM 理由あってMini!,9
10,東京喰種トーキョーグール:re,10
11,人外さんの嫁,11
12,異世界居酒屋～古都アイテーリアの居酒屋のぶ～ ,12
13,CONCEPTION,13
14,風が強く吹いている,14
15,中間管理録トネガワ,15
16,俺が好きなのは妹だけど妹じゃない,16
17,ほら、耳がみえてるよ！,17
18,ソラとウミのアイダ,18
19,RErideDー刻越えのデリダー,19
20,青春ブタ野郎はバニーガール先輩の夢を見ない,20
21,ベルゼブブ嬢のお気に召すまま。,21
22,イングレス,22
