1,1,Metal Layer
2,2,ゴールデンカムイ
3,3,転生したらスライムだった件
4,4,蒼天の拳 REGENESIS 
5,5,宇宙戦艦ティラミスⅡ
6,6,キャプテン翼
7,7,軒轅剣 蒼き曜
8,8,ブラッククローバー
9,9,アイドルマスター SideM 理由あってMini!
10,10,東京喰種トーキョーグール:re
11,11,人外さんの嫁
12,12,異世界居酒屋～古都アイテーリアの居酒屋のぶ～ 
13,13,CONCEPTION
14,14,風が強く吹いている
15,15,中間管理録トネガワ
16,16,俺が好きなのは妹だけど妹じゃない
17,17,ほら、耳がみえてるよ！
18,18,ソラとウミのアイダ
19,19,RErideD－刻越えのデリダ－
20,20,青春フ?タ野郎はハ?ニーカ?ール先輩の夢を見ない
21,21,ベルゼブブ嬢のお気に召すまま。
22,22,イングレス
