1,81プロデュース,03-3485-7781,東京都渋谷区富ヶ谷1丁目3番4号　BOF2代々木公園
2,アイムエンタープライズ,03-3372-5908,東京都渋谷区代々木1-14-3松田ビル1F
3,青二プロダクション,03-3479-1791,東京都港区南青山2-5-17 ポーラ青山ビル5階
4,アーツビジョン,03-3375-0481,東京都渋谷区代々木1-14-3 松田ビル3階
5,東京俳優生活協同組合,03-3356-7521,東京都渋谷区千駄ヶ谷5-11-13
